,label,filename,filepath
47,Abstract Expressionism,Abstract Expressionism_aug_0_1480.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1480.jpeg
48,Abstract Expressionism,Abstract Expressionism_aug_0_1491.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1491.jpeg
49,Abstract Expressionism,Abstract Expressionism_aug_0_1492.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1492.jpeg
50,Abstract Expressionism,Abstract Expressionism_aug_0_1506.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1506.jpeg
51,Abstract Expressionism,Abstract Expressionism_aug_0_1511.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1511.jpeg
52,Abstract Expressionism,Abstract Expressionism_aug_0_152.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_152.jpeg
53,Abstract Expressionism,Abstract Expressionism_aug_0_1524.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1524.jpeg
54,Abstract Expressionism,Abstract Expressionism_aug_0_1531.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1531.jpeg
55,Abstract Expressionism,Abstract Expressionism_aug_0_1569.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1569.jpeg
56,Abstract Expressionism,Abstract Expressionism_aug_0_1585.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1585.jpeg
57,Abstract Expressionism,Abstract Expressionism_aug_0_1598.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1598.jpeg
58,Abstract Expressionism,Abstract Expressionism_aug_0_1606.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1606.jpeg
59,Abstract Expressionism,Abstract Expressionism_aug_0_1614.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1614.jpeg
60,Abstract Expressionism,Abstract Expressionism_aug_0_162.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_162.jpeg
61,Abstract Expressionism,Abstract Expressionism_aug_0_1623.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1623.jpeg
62,Abstract Expressionism,Abstract Expressionism_aug_0_1626.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1626.jpeg
63,Abstract Expressionism,Abstract Expressionism_aug_0_1628.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1628.jpeg
64,Abstract Expressionism,Abstract Expressionism_aug_0_1637.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1637.jpeg
65,Abstract Expressionism,Abstract Expressionism_aug_0_1652.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1652.jpeg
66,Abstract Expressionism,Abstract Expressionism_aug_0_1656.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1656.jpeg
67,Abstract Expressionism,Abstract Expressionism_aug_0_166.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_166.jpeg
68,Abstract Expressionism,Abstract Expressionism_aug_0_1677.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1677.jpeg
69,Abstract Expressionism,Abstract Expressionism_aug_0_1685.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1685.jpeg
70,Abstract Expressionism,Abstract Expressionism_aug_0_1686.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1686.jpeg
71,Abstract Expressionism,Abstract Expressionism_aug_0_1696.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1696.jpeg
72,Abstract Expressionism,Abstract Expressionism_aug_0_1698.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1698.jpeg
73,Abstract Expressionism,Abstract Expressionism_aug_0_17.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_17.jpeg
74,Abstract Expressionism,Abstract Expressionism_aug_0_1708.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1708.jpeg
75,Abstract Expressionism,Abstract Expressionism_aug_0_171.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_171.jpeg
76,Abstract Expressionism,Abstract Expressionism_aug_0_1715.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1715.jpeg
77,Abstract Expressionism,Abstract Expressionism_aug_0_1716.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1716.jpeg
78,Abstract Expressionism,Abstract Expressionism_aug_0_1725.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1725.jpeg
79,Abstract Expressionism,Abstract Expressionism_aug_0_1749.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1749.jpeg
80,Abstract Expressionism,Abstract Expressionism_aug_0_1762.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1762.jpeg
81,Abstract Expressionism,Abstract Expressionism_aug_0_178.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_178.jpeg
82,Abstract Expressionism,Abstract Expressionism_aug_0_1781.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1781.jpeg
83,Abstract Expressionism,Abstract Expressionism_aug_0_1786.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1786.jpeg
84,Abstract Expressionism,Abstract Expressionism_aug_0_179.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_179.jpeg
85,Abstract Expressionism,Abstract Expressionism_aug_0_1791.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1791.jpeg
86,Abstract Expressionism,Abstract Expressionism_aug_0_1795.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1795.jpeg
87,Abstract Expressionism,Abstract Expressionism_aug_0_1804.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1804.jpeg
88,Abstract Expressionism,Abstract Expressionism_aug_0_1818.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1818.jpeg
89,Abstract Expressionism,Abstract Expressionism_aug_0_1821.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1821.jpeg
90,Abstract Expressionism,Abstract Expressionism_aug_0_1825.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1825.jpeg
91,Abstract Expressionism,Abstract Expressionism_aug_0_1829.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1829.jpeg
92,Abstract Expressionism,Abstract Expressionism_aug_0_1849.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1849.jpeg
93,Abstract Expressionism,Abstract Expressionism_aug_0_1858.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1858.jpeg
94,Abstract Expressionism,Abstract Expressionism_aug_0_186.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_186.jpeg
95,Abstract Expressionism,Abstract Expressionism_aug_0_1865.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1865.jpeg
96,Abstract Expressionism,Abstract Expressionism_aug_0_1884.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1884.jpeg
97,Abstract Expressionism,Abstract Expressionism_aug_0_1890.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1890.jpeg
98,Abstract Expressionism,Abstract Expressionism_aug_0_19.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_19.jpeg
99,Abstract Expressionism,Abstract Expressionism_aug_0_1901.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1901.jpeg
100,Abstract Expressionism,Abstract Expressionism_aug_0_1911.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1911.jpeg
101,Abstract Expressionism,Abstract Expressionism_aug_0_1918.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1918.jpeg
102,Abstract Expressionism,Abstract Expressionism_aug_0_193.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_193.jpeg
103,Abstract Expressionism,Abstract Expressionism_aug_0_1935.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1935.jpeg
104,Abstract Expressionism,Abstract Expressionism_aug_0_1960.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1960.jpeg
105,Abstract Expressionism,Abstract Expressionism_aug_0_1973.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1973.jpeg
106,Abstract Expressionism,Abstract Expressionism_aug_0_1979.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1979.jpeg
107,Abstract Expressionism,Abstract Expressionism_aug_0_200.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_200.jpeg
108,Abstract Expressionism,Abstract Expressionism_aug_0_2005.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2005.jpeg
109,Abstract Expressionism,Abstract Expressionism_aug_0_2009.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2009.jpeg
110,Abstract Expressionism,Abstract Expressionism_aug_0_2020.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2020.jpeg
111,Abstract Expressionism,Abstract Expressionism_aug_0_2030.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2030.jpeg
112,Abstract Expressionism,Abstract Expressionism_aug_0_2037.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2037.jpeg
113,Abstract Expressionism,Abstract Expressionism_aug_0_2067.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2067.jpeg
114,Abstract Expressionism,Abstract Expressionism_aug_0_2070.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2070.jpeg
115,Abstract Expressionism,Abstract Expressionism_aug_0_2076.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2076.jpeg
116,Abstract Expressionism,Abstract Expressionism_aug_0_2087.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2087.jpeg
117,Abstract Expressionism,Abstract Expressionism_aug_0_210.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_210.jpeg
118,Abstract Expressionism,Abstract Expressionism_aug_0_2109.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2109.jpeg
119,Abstract Expressionism,Abstract Expressionism_aug_0_2115.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2115.jpeg
120,Abstract Expressionism,Abstract Expressionism_aug_0_212.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_212.jpeg
121,Abstract Expressionism,Abstract Expressionism_aug_0_2124.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2124.jpeg
122,Abstract Expressionism,Abstract Expressionism_aug_0_2194.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2194.jpeg
123,Abstract Expressionism,Abstract Expressionism_aug_0_22.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_22.jpeg
124,Abstract Expressionism,Abstract Expressionism_aug_0_2201.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2201.jpeg
125,Abstract Expressionism,Abstract Expressionism_aug_0_2203.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2203.jpeg
126,Abstract Expressionism,Abstract Expressionism_aug_0_224.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_224.jpeg
127,Abstract Expressionism,Abstract Expressionism_aug_0_2250.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2250.jpeg
128,Abstract Expressionism,Abstract Expressionism_aug_0_2255.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2255.jpeg
129,Abstract Expressionism,Abstract Expressionism_aug_0_2256.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2256.jpeg
130,Abstract Expressionism,Abstract Expressionism_aug_0_2275.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2275.jpeg
131,Abstract Expressionism,Abstract Expressionism_aug_0_2286.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2286.jpeg
132,Abstract Expressionism,Abstract Expressionism_aug_0_229.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_229.jpeg
133,Abstract Expressionism,Abstract Expressionism_aug_0_2306.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2306.jpeg
134,Abstract Expressionism,Abstract Expressionism_aug_0_2318.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2318.jpeg
135,Abstract Expressionism,Abstract Expressionism_aug_0_2324.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2324.jpeg
136,Abstract Expressionism,Abstract Expressionism_aug_0_2326.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2326.jpeg
137,Abstract Expressionism,Abstract Expressionism_aug_0_2332.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2332.jpeg
138,Abstract Expressionism,Abstract Expressionism_aug_0_2333.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2333.jpeg
139,Abstract Expressionism,Abstract Expressionism_aug_0_2359.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2359.jpeg
140,Abstract Expressionism,Abstract Expressionism_aug_0_2361.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2361.jpeg
141,Abstract Expressionism,Abstract Expressionism_aug_0_2377.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2377.jpeg
142,Abstract Expressionism,Abstract Expressionism_aug_0_2380.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2380.jpeg
143,Abstract Expressionism,Abstract Expressionism_aug_0_2383.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2383.jpeg
144,Abstract Expressionism,Abstract Expressionism_aug_0_2393.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2393.jpeg
145,Abstract Expressionism,Abstract Expressionism_aug_0_2420.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2420.jpeg
146,Abstract Expressionism,Abstract Expressionism_aug_0_2461.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2461.jpeg
147,Abstract Expressionism,Abstract Expressionism_aug_0_2465.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2465.jpeg
148,Abstract Expressionism,Abstract Expressionism_aug_0_2469.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2469.jpeg
149,Abstract Expressionism,Abstract Expressionism_aug_0_2473.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2473.jpeg
150,Abstract Expressionism,Abstract Expressionism_aug_0_2478.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2478.jpeg
151,Abstract Expressionism,Abstract Expressionism_aug_0_2479.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2479.jpeg
152,Abstract Expressionism,Abstract Expressionism_aug_0_2484.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2484.jpeg
153,Abstract Expressionism,Abstract Expressionism_aug_0_2492.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2492.jpeg
154,Abstract Expressionism,Abstract Expressionism_aug_0_2497.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2497.jpeg
155,Abstract Expressionism,Abstract Expressionism_aug_0_2504.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2504.jpeg
156,Abstract Expressionism,Abstract Expressionism_aug_0_2507.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2507.jpeg
157,Abstract Expressionism,Abstract Expressionism_aug_0_2526.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2526.jpeg
158,Abstract Expressionism,Abstract Expressionism_aug_0_2530.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2530.jpeg
159,Abstract Expressionism,Abstract Expressionism_aug_0_254.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_254.jpeg
160,Abstract Expressionism,Abstract Expressionism_aug_0_2540.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2540.jpeg
161,Abstract Expressionism,Abstract Expressionism_aug_0_2542.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2542.jpeg
162,Abstract Expressionism,Abstract Expressionism_aug_0_2548.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2548.jpeg
163,Abstract Expressionism,Abstract Expressionism_aug_0_2550.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2550.jpeg
164,Abstract Expressionism,Abstract Expressionism_aug_0_2558.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2558.jpeg
165,Abstract Expressionism,Abstract Expressionism_aug_0_258.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_258.jpeg
166,Abstract Expressionism,Abstract Expressionism_aug_0_259.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_259.jpeg
167,Abstract Expressionism,Abstract Expressionism_aug_0_2602.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2602.jpeg
168,Abstract Expressionism,Abstract Expressionism_aug_0_2629.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2629.jpeg
169,Abstract Expressionism,Abstract Expressionism_aug_0_2632.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2632.jpeg
170,Abstract Expressionism,Abstract Expressionism_aug_0_2673.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2673.jpeg
171,Abstract Expressionism,Abstract Expressionism_aug_0_268.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_268.jpeg
172,Abstract Expressionism,Abstract Expressionism_aug_0_2693.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2693.jpeg
173,Abstract Expressionism,Abstract Expressionism_aug_0_2716.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2716.jpeg
174,Abstract Expressionism,Abstract Expressionism_aug_0_2732.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2732.jpeg
175,Abstract Expressionism,Abstract Expressionism_aug_0_2733.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2733.jpeg
176,Abstract Expressionism,Abstract Expressionism_aug_0_2734.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2734.jpeg
177,Abstract Expressionism,Abstract Expressionism_aug_0_2743.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2743.jpeg
178,Abstract Expressionism,Abstract Expressionism_aug_0_2745.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2745.jpeg
179,Abstract Expressionism,Abstract Expressionism_aug_0_2766.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2766.jpeg
180,Abstract Expressionism,Abstract Expressionism_aug_0_277.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_277.jpeg
181,Abstract Expressionism,Abstract Expressionism_aug_0_2772.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2772.jpeg
182,Abstract Expressionism,Abstract Expressionism_aug_0_2775.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2775.jpeg
183,Abstract Expressionism,Abstract Expressionism_aug_0_2778.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2778.jpeg
184,Abstract Expressionism,Abstract Expressionism_aug_0_2780.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2780.jpeg
185,Abstract Expressionism,Abstract Expressionism_aug_0_2781.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2781.jpeg
186,Abstract Expressionism,Abstract Expressionism_aug_0_2782.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2782.jpeg
187,Abstract Expressionism,Abstract Expressionism_aug_0_279.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_279.jpeg
188,Abstract Expressionism,Abstract Expressionism_aug_0_2798.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2798.jpeg
189,Abstract Expressionism,Abstract Expressionism_aug_0_28.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_28.jpeg
190,Abstract Expressionism,Abstract Expressionism_aug_0_2818.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2818.jpeg
191,Abstract Expressionism,Abstract Expressionism_aug_0_2831.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_2831.jpeg
